,id,balance,update_time
0,26189,575.21640587,2024-11-20 15:56:40.409460
1,26190,575.18458032,2024-11-20 15:58:40.518770
2,26191,575.15259245,2024-11-20 16:00:40.605411
3,26192,575.16380709,2024-11-20 16:02:40.706398
4,26193,575.10884318,2024-11-20 16:04:40.805501
5,26194,575.10703237,2024-11-20 16:06:40.904280
6,26195,575.13540463,2024-11-20 16:08:41.005492
7,26196,575.12690532,2024-11-20 16:10:41.783242
8,26197,575.13958844,2024-11-20 16:12:41.881503
9,26198,575.12722062,2024-11-20 16:14:41.980515
10,26199,575.16386276,2024-11-20 16:16:41.607925
11,26200,575.16848017,2024-11-20 16:18:41.563200
12,26201,575.28282823,2024-11-20 16:20:41.612270
13,26202,575.2088296,2024-11-20 16:22:41.715827
14,26203,575.2274654,2024-11-20 16:24:41.816266
15,26204,575.16826403,2024-11-20 16:26:41.915014
16,26205,575.2083175,2024-11-20 16:28:42.017250
17,26206,575.21310356,2024-11-20 16:30:42.044452
18,26207,575.19976043,2024-11-20 16:32:42.141083
19,26208,575.16042901,2024-11-20 16:34:42.249126
20,26209,575.19234144,2024-11-20 16:36:42.347683
21,26210,575.18726545,2024-11-20 16:38:42.443648
22,26211,575.20621988,2024-11-20 16:40:43.189098
23,26212,575.20263392,2024-11-20 16:42:43.288782
24,26213,575.1998513,2024-11-20 16:44:43.391077
25,26214,575.20711753,2024-11-20 16:46:42.805045
26,26215,575.22603353,2024-11-20 16:48:42.904253
27,26216,575.23720669,2024-11-20 16:50:43.006041
28,26217,575.169981,2024-11-20 16:52:43.099724
29,26218,575.19499891,2024-11-20 16:54:43.193251
30,26219,575.16814851,2024-11-20 16:56:43.293112
31,26220,575.15420186,2024-11-20 16:58:43.390811
32,26221,575.19272658,2024-11-20 17:00:43.491494
33,26222,575.14255587,2024-11-20 17:02:43.593745
34,26223,575.14431085,2024-11-20 17:04:43.694795
35,26224,577.32029588,2024-11-20 17:06:51.387381
36,26225,577.31700841,2024-11-20 17:08:50.867470
37,26226,577.63479861,2024-11-20 17:10:51.644494
38,26227,577.66125271,2024-11-20 17:12:51.747468
39,26228,577.65857479,2024-11-20 17:14:51.848145
40,26229,577.68139231,2024-11-20 17:16:51.311787
41,26230,577.69470368,2024-11-20 17:18:51.413220
42,26231,577.69354205,2024-11-20 17:20:51.511686
43,26232,577.71288152,2024-11-20 17:22:51.614062
44,26233,577.70530496,2024-11-20 17:24:51.717475
45,26234,577.7170948,2024-11-20 17:26:51.812791
46,26235,577.69159904,2024-11-20 17:28:51.912031
47,26236,577.69778782,2024-11-20 17:30:52.012621
48,26237,577.71557985,2024-11-20 17:32:52.116083
49,26238,577.71050841,2024-11-20 17:34:52.209577
50,26239,577.71324185,2024-11-20 17:36:52.312212
51,26240,577.70512153,2024-11-20 17:38:52.413597
52,26241,577.70732368,2024-11-20 17:40:53.134717
53,26242,577.71455076,2024-11-20 17:42:53.234971
54,26243,577.71014696,2024-11-20 17:44:53.336724
55,26244,577.67972631,2024-11-20 17:46:52.784676
56,26245,577.64688352,2024-11-20 17:48:52.888359
57,26246,577.67189669,2024-11-20 17:50:52.989362
58,26247,577.70255338,2024-11-20 17:52:53.088658
59,26248,577.68846702,2024-11-20 17:54:53.187439
60,26249,577.68106121,2024-11-20 17:56:53.288993
61,26250,577.61686853,2024-11-20 17:58:53.385288
62,26251,577.66948769,2024-11-20 18:00:53.485611
63,26252,577.7111966,2024-11-20 18:02:53.546290
64,26253,577.69138904,2024-11-20 18:04:53.650837
65,26254,577.6736306,2024-11-20 18:06:53.746165
66,26255,577.66376409,2024-11-20 18:08:53.878819
67,26256,577.70830081,2024-11-20 18:10:54.596137
68,26257,577.72081765,2024-11-20 18:12:54.694970
69,26258,577.72410208,2024-11-20 18:14:54.794176
70,26259,577.67648478,2024-11-20 18:16:54.263833
71,26260,577.6964288,2024-11-20 18:18:54.360514
72,26261,577.6854384,2024-11-20 18:20:54.461231
73,26262,577.69923324,2024-11-20 18:22:54.560556
74,26263,577.67849629,2024-11-20 18:24:54.658971
75,26264,577.68810961,2024-11-20 18:26:54.759855
76,26265,577.70072846,2024-11-20 18:28:54.860379
77,26266,577.71836708,2024-11-20 18:30:54.961155
78,26267,577.7168286,2024-11-20 18:32:55.064129
79,26268,577.73586562,2024-11-20 18:34:55.165736
80,26269,577.70336834,2024-11-20 18:36:55.266215
81,26270,577.71954349,2024-11-20 18:38:55.972368
82,26271,577.72767179,2024-11-20 18:40:56.074091
83,26272,577.69760558,2024-11-20 18:42:56.174189
84,26273,577.69401946,2024-11-20 18:44:56.277266
85,26274,577.71026432,2024-11-20 18:46:55.726171
86,26275,577.72891867,2024-11-20 18:48:55.834184
87,26276,577.71787363,2024-11-20 18:50:55.931347
88,26277,577.71663011,2024-11-20 18:52:56.032016
89,26278,577.72687331,2024-11-20 18:54:56.133883
90,26279,577.73652171,2024-11-20 18:56:56.138026
91,26280,577.71608327,2024-11-20 18:58:56.234836
92,26281,577.70851015,2024-11-20 19:00:56.336560
93,26282,577.71136951,2024-11-20 19:02:56.438830
94,26283,577.73240853,2024-11-20 19:04:56.530576
95,26284,577.72902057,2024-11-20 19:06:56.628803
96,26285,577.70537147,2024-11-20 19:08:57.385345
97,26286,577.71582609,2024-11-20 19:10:57.477862
